Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 3000 93 423
0.010000 3000 57 463
0.010000 3000 88 442
0.010000 3000 68 421
0.010000 3000 64 455
0.010000 3000 81 395
0.010000 3000 115 451
0.010000 3000 61 423
0.010000 3000 109 429
0.010000 3000 85 389
0.010000 3000 90 397
0.010000 3000 83 457
0.010000 3000 75 456
0.010000 3000 59 409
0.010000 3000 62 460
0.010000 3000 64 434
0.010000 3000 85 433
0.010000 3000 70 393
0.010000 3000 97 399
0.010000 3000 71 385
0.010000 3000 80 389
0.010000 3000 81 410
0.010000 3000 65 422
0.010000 3000 100 430
0.010000 3000 73 399
0.010000 3000 90 434
0.010000 3000 79 416
0.010000 3000 78 430
0.010000 3000 75 424
0.010000 3000 64 415
0.010000 3000 73 445
0.010000 3000 63 393
0.010000 3000 78 361
0.010000 3000 98 400
0.010000 3000 83 368
0.010000 3000 77 442
0.010000 3000 66 416
0.010000 3000 66 382
0.010000 3000 83 456
0.010000 3000 71 393
0.010000 3000 57 420
0.010000 3000 79 348
0.010000 3000 97 414
0.010000 3000 79 413
0.010000 3000 75 436
0.010000 3000 80 398
0.010000 3000 106 367
0.010000 3000 78 377
0.010000 3000 77 428
0.010000 3000 68 415
0.010000 3000 69 475
0.010000 3000 82 390
0.010000 3000 74 391
0.010000 3000 84 405
0.010000 3000 65 441
0.010000 3000 102 394
0.010000 3000 84 413
0.010000 3000 67 395
0.010000 3000 75 376
0.010000 3000 67 420
0.010000 3000 70 386
0.010000 3000 81 382
0.010000 3000 63 406
0.010000 3000 88 446
0.010000 3000 70 391
0.010000 3000 89 396
0.010000 3000 73 373
0.010000 3000 75 397
0.010000 3000 81 404
0.010000 3000 67 395
0.010000 3000 84 412
0.010000 3000 73 451
0.010000 3000 62 424
0.010000 3000 79 413
0.010000 3000 87 367
0.010000 3000 69 417
0.010000 3000 62 423
0.010000 3000 96 392
0.010000 3000 63 397
0.010000 3000 65 388
0.010000 3000 63 370
0.010000 3000 96 403
0.010000 3000 83 390
0.010000 3000 73 442
0.010000 3000 82 426
0.010000 3000 81 414
0.010000 3000 99 444
0.010000 3000 80 428
0.010000 3000 88 413
0.010000 3000 83 443
0.010000 3000 62 417
0.010000 3000 82 419
0.010000 3000 77 405
0.010000 3000 78 431
0.010000 3000 68 408
0.010000 3000 75 406
0.010000 3000 79 360
0.010000 3000 72 388
0.010000 3000 85 390
0.010000 3000 67 419
