Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 3000 28 468
0.010000 3000 33 509
0.010000 3000 28 508
0.010000 3000 30 483
0.010000 3000 31 466
0.010000 3000 33 459
0.010000 3000 30 504
0.010000 3000 28 469
0.010000 3000 31 477
0.010000 3000 33 477
0.010000 3000 30 485
0.010000 3000 40 510
0.010000 3000 32 488
0.010000 3000 28 471
0.010000 3000 37 479
0.010000 3000 37 495
0.010000 3000 51 458
0.010000 3000 31 455
0.010000 3000 34 456
0.010000 3000 29 490
0.010000 3000 32 475
0.010000 3000 28 482
0.010000 3000 30 474
0.010000 3000 31 442
0.010000 3000 31 463
0.010000 3000 25 480
0.010000 3000 38 474
0.010000 3000 25 488
0.010000 3000 36 504
0.010000 3000 28 485
0.010000 3000 33 466
0.010000 3000 37 460
0.010000 3000 27 481
0.010000 3000 28 475
0.010000 3000 28 478
0.010000 3000 30 473
0.010000 3000 32 465
0.010000 3000 37 483
0.010000 3000 32 515
0.010000 3000 35 488
0.010000 3000 32 478
0.010000 3000 33 452
0.010000 3000 34 471
0.010000 3000 31 474
0.010000 3000 29 515
0.010000 3000 29 472
0.010000 3000 36 443
0.010000 3000 28 475
0.010000 3000 31 457
0.010000 3000 37 492
0.010000 3000 31 512
0.010000 3000 30 487
0.010000 3000 32 466
0.010000 3000 31 456
0.010000 3000 28 486
0.010000 3000 33 477
0.010000 3000 24 515
0.010000 3000 30 463
0.010000 3000 33 447
0.010000 3000 31 485
0.010000 3000 28 468
0.010000 3000 40 470
0.010000 3000 28 475
0.010000 3000 24 510
0.010000 3000 31 449
0.010000 3000 33 460
0.010000 3000 26 496
0.010000 3000 26 475
0.010000 3000 43 482
0.010000 3000 33 459
0.010000 3000 41 486
0.010000 3000 29 496
0.010000 3000 34 509
0.010000 3000 28 473
0.010000 3000 34 436
0.010000 3000 31 494
0.010000 3000 28 448
0.010000 3000 37 473
0.010000 3000 34 462
0.010000 3000 39 485
0.010000 3000 30 466
0.010000 3000 33 469
0.010000 3000 45 458
0.010000 3000 34 476
0.010000 3000 34 506
0.010000 3000 30 466
0.010000 3000 31 515
0.010000 3000 35 492
0.010000 3000 25 474
0.010000 3000 25 500
0.010000 3000 29 467
0.010000 3000 32 459
0.010000 3000 30 505
0.010000 3000 28 492
0.010000 3000 30 512
0.010000 3000 25 480
0.010000 3000 33 465
0.010000 3000 34 460
0.010000 3000 27 499
0.010000 3000 34 518
