Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 3000 55 365
0.010000 3000 59 389
0.010000 3000 99 348
0.010000 3000 76 378
0.010000 3000 52 382
0.010000 3000 73 327
0.010000 3000 47 371
0.010000 3000 79 330
0.010000 3000 56 358
0.010000 3000 66 344
0.010000 3000 58 341
0.010000 3000 75 362
0.010000 3000 59 360
0.010000 3000 54 356
0.010000 3000 59 373
0.010000 3000 79 344
0.010000 3000 59 346
0.010000 3000 72 318
0.010000 3000 82 349
0.010000 3000 73 332
0.010000 3000 75 339
0.010000 3000 64 324
0.010000 3000 73 333
0.010000 3000 98 373
0.010000 3000 65 348
0.010000 3000 72 352
0.010000 3000 50 374
0.010000 3000 52 362
0.010000 3000 78 371
0.010000 3000 69 356
0.010000 3000 75 377
0.010000 3000 51 340
0.010000 3000 73 326
0.010000 3000 58 364
0.010000 3000 81 331
0.010000 3000 53 343
0.010000 3000 73 341
0.010000 3000 86 339
0.010000 3000 55 365
0.010000 3000 69 332
0.010000 3000 64 330
0.010000 3000 67 316
0.010000 3000 72 353
0.010000 3000 72 357
0.010000 3000 74 368
0.010000 3000 51 356
0.010000 3000 76 317
0.010000 3000 78 315
0.010000 3000 72 327
0.010000 3000 71 347
0.010000 3000 60 361
0.010000 3000 73 345
0.010000 3000 61 351
0.010000 3000 57 343
0.010000 3000 78 330
0.010000 3000 67 343
0.010000 3000 58 333
0.010000 3000 55 332
0.010000 3000 90 340
0.010000 3000 94 362
0.010000 3000 84 330
0.010000 3000 83 343
0.010000 3000 64 353
0.010000 3000 80 364
0.010000 3000 55 337
0.010000 3000 74 332
0.010000 3000 61 344
0.010000 3000 57 349
0.010000 3000 79 349
0.010000 3000 55 333
0.010000 3000 68 371
0.010000 3000 66 357
0.010000 3000 70 365
0.010000 3000 87 330
0.010000 3000 53 326
0.010000 3000 75 358
0.010000 3000 54 360
0.010000 3000 69 335
0.010000 3000 63 348
0.010000 3000 61 350
0.010000 3000 86 334
0.010000 3000 96 349
0.010000 3000 62 326
0.010000 3000 59 362
0.010000 3000 71 362
0.010000 3000 63 325
0.010000 3000 68 363
0.010000 3000 78 328
0.010000 3000 66 325
0.010000 3000 61 365
0.010000 3000 88 354
0.010000 3000 79 353
0.010000 3000 72 347
0.010000 3000 75 361
0.010000 3000 53 351
0.010000 3000 101 336
0.010000 3000 63 318
0.010000 3000 53 368
0.010000 3000 65 337
0.010000 3000 57 355
