Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 10000 676 500235
0.010000 10000 402 499782
0.010000 10000 431 499300
0.010000 10000 393 500960
0.010000 10000 363 500543
0.010000 10000 492 499820
0.010000 10000 375 499399
0.010000 10000 475 499837
0.010000 10000 650 500232
0.010000 10000 881 498652
0.010000 10000 366 500826
0.010000 10000 471 499793
0.010000 10000 806 499485
0.010000 10000 791 499753
0.010000 10000 421 499419
0.010000 10000 727 498708
0.010000 10000 372 499511
0.010000 10000 461 500162
0.010000 10000 493 500034
0.010000 10000 500 499122
0.010000 10000 427 498591
0.010000 10000 417 500891
0.010000 10000 444 499915
0.010000 10000 353 499319
0.010000 10000 857 500531
0.010000 10000 489 500169
0.010000 10000 508 500591
0.010000 10000 718 499837
0.010000 10000 351 499943
0.010000 10000 604 500281
0.010000 10000 495 500193
0.010000 10000 477 500206
0.010000 10000 494 500476
0.010000 10000 534 500201
0.010000 10000 352 500728
0.010000 10000 389 500300
0.010000 10000 468 499900
0.010000 10000 729 498692
0.010000 10000 797 500493
0.010000 10000 472 500069
0.010000 10000 600 500106
0.010000 10000 572 499552
0.010000 10000 531 500473
0.010000 10000 457 501104
0.010000 10000 524 499372
0.010000 10000 615 499154
0.010000 10000 452 500435
0.010000 10000 575 500082
0.010000 10000 628 499746
0.010000 10000 460 499745
0.010000 10000 1358 500242
0.010000 10000 517 499776
0.010000 10000 731 499732
0.010000 10000 992 500089
0.010000 10000 571 499936
0.010000 10000 644 498748
0.010000 10000 322 499276
0.010000 10000 409 500311
0.010000 10000 414 500320
0.010000 10000 390 500267
0.010000 10000 367 499712
0.010000 10000 693 500009
0.010000 10000 447 499399
0.010000 10000 621 499265
0.010000 10000 544 499808
0.010000 10000 902 499845
0.010000 10000 448 500210
0.010000 10000 477 499537
0.010000 10000 481 500772
0.010000 10000 667 499977
0.010000 10000 1262 499425
0.010000 10000 559 500480
0.010000 10000 486 499851
0.010000 10000 425 499689
0.010000 10000 531 499389
0.010000 10000 588 499885
0.010000 10000 583 499852
0.010000 10000 699 499335
0.010000 10000 992 500085
0.010000 10000 762 498732
0.010000 10000 510 500220
0.010000 10000 602 499810
0.010000 10000 640 500756
0.010000 10000 451 499680
0.010000 10000 385 499808
0.010000 10000 652 499989
0.010000 10000 504 499090
0.010000 10000 823 501164
0.010000 10000 837 500359
0.010000 10000 568 499501
0.010000 10000 409 499398
0.010000 10000 466 499777
0.010000 10000 411 499907
0.010000 10000 423 499991
0.010000 10000 425 500045
0.010000 10000 495 498714
0.010000 10000 576 499680
0.010000 10000 563 500180
0.010000 10000 1137 499112
0.010000 10000 551 500005
