Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 10000 101 1323
0.010000 10000 66 1309
0.010000 10000 59 1383
0.010000 10000 63 1322
0.010000 10000 61 1316
0.010000 10000 61 1389
0.010000 10000 56 1402
0.010000 10000 85 1314
0.010000 10000 58 1371
0.010000 10000 72 1370
0.010000 10000 56 1359
0.010000 10000 67 1346
0.010000 10000 69 1346
0.010000 10000 95 1266
0.010000 10000 65 1402
0.010000 10000 68 1305
0.010000 10000 60 1393
0.010000 10000 66 1393
0.010000 10000 68 1305
0.010000 10000 57 1354
0.010000 10000 62 1383
0.010000 10000 69 1300
0.010000 10000 61 1334
0.010000 10000 75 1310
0.010000 10000 58 1352
0.010000 10000 64 1329
0.010000 10000 65 1336
0.010000 10000 105 1305
0.010000 10000 74 1329
0.010000 10000 80 1293
0.010000 10000 58 1272
0.010000 10000 69 1338
0.010000 10000 65 1290
0.010000 10000 91 1367
0.010000 10000 59 1364
0.010000 10000 63 1298
0.010000 10000 69 1324
0.010000 10000 66 1319
0.010000 10000 51 1342
0.010000 10000 80 1312
0.010000 10000 61 1345
0.010000 10000 77 1342
0.010000 10000 63 1366
0.010000 10000 66 1341
0.010000 10000 76 1349
0.010000 10000 75 1394
0.010000 10000 70 1255
0.010000 10000 65 1318
0.010000 10000 77 1374
0.010000 10000 75 1319
0.010000 10000 79 1334
0.010000 10000 68 1311
0.010000 10000 67 1310
0.010000 10000 89 1365
0.010000 10000 66 1378
0.010000 10000 71 1297
0.010000 10000 67 1247
0.010000 10000 73 1285
0.010000 10000 84 1375
0.010000 10000 69 1313
0.010000 10000 56 1375
0.010000 10000 59 1354
0.010000 10000 76 1306
0.010000 10000 80 1347
0.010000 10000 61 1371
0.010000 10000 85 1401
0.010000 10000 74 1342
0.010000 10000 69 1272
0.010000 10000 64 1324
0.010000 10000 65 1313
0.010000 10000 68 1322
0.010000 10000 55 1288
0.010000 10000 62 1303
0.010000 10000 70 1334
0.010000 10000 111 1271
0.010000 10000 79 1379
0.010000 10000 53 1351
0.010000 10000 61 1364
0.010000 10000 65 1333
0.010000 10000 77 1344
0.010000 10000 90 1356
0.010000 10000 68 1262
0.010000 10000 64 1306
0.010000 10000 51 1397
0.010000 10000 95 1326
0.010000 10000 62 1354
0.010000 10000 64 1361
0.010000 10000 51 1418
0.010000 10000 60 1292
0.010000 10000 54 1406
0.010000 10000 89 1317
0.010000 10000 81 1361
0.010000 10000 56 1345
0.010000 10000 55 1356
0.010000 10000 67 1328
0.010000 10000 61 1304
0.010000 10000 93 1269
0.010000 10000 91 1333
0.010000 10000 66 1266
0.010000 10000 80 1297
