Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 10000 80 1618
0.010000 10000 82 1720
0.010000 10000 99 1554
0.010000 10000 88 1582
0.010000 10000 124 1669
0.010000 10000 108 1538
0.010000 10000 72 1659
0.010000 10000 89 1596
0.010000 10000 103 1636
0.010000 10000 106 1534
0.010000 10000 90 1581
0.010000 10000 91 1557
0.010000 10000 103 1600
0.010000 10000 81 1607
0.010000 10000 96 1558
0.010000 10000 68 1651
0.010000 10000 77 1627
0.010000 10000 101 1606
0.010000 10000 98 1570
0.010000 10000 93 1635
0.010000 10000 84 1524
0.010000 10000 76 1686
0.010000 10000 94 1674
0.010000 10000 88 1710
0.010000 10000 101 1568
0.010000 10000 125 1618
0.010000 10000 72 1627
0.010000 10000 110 1567
0.010000 10000 112 1605
0.010000 10000 91 1528
0.010000 10000 118 1604
0.010000 10000 83 1609
0.010000 10000 86 1531
0.010000 10000 97 1687
0.010000 10000 105 1588
0.010000 10000 104 1587
0.010000 10000 106 1535
0.010000 10000 95 1528
0.010000 10000 110 1731
0.010000 10000 102 1579
0.010000 10000 115 1590
0.010000 10000 103 1714
0.010000 10000 78 1684
0.010000 10000 92 1688
0.010000 10000 119 1540
0.010000 10000 65 1661
0.010000 10000 82 1610
0.010000 10000 98 1524
0.010000 10000 91 1529
0.010000 10000 98 1668
0.010000 10000 76 1598
0.010000 10000 87 1633
0.010000 10000 78 1603
0.010000 10000 78 1640
0.010000 10000 103 1474
0.010000 10000 90 1575
0.010000 10000 95 1579
0.010000 10000 92 1664
0.010000 10000 73 1598
0.010000 10000 79 1656
0.010000 10000 83 1492
0.010000 10000 83 1540
0.010000 10000 90 1546
0.010000 10000 102 1606
0.010000 10000 93 1741
0.010000 10000 94 1660
0.010000 10000 85 1535
0.010000 10000 110 1734
0.010000 10000 82 1724
0.010000 10000 92 1667
0.010000 10000 94 1483
0.010000 10000 86 1635
0.010000 10000 108 1604
0.010000 10000 83 1462
0.010000 10000 68 1553
0.010000 10000 85 1534
0.010000 10000 93 1588
0.010000 10000 84 1655
0.010000 10000 67 1524
0.010000 10000 102 1613
0.010000 10000 108 1609
0.010000 10000 113 1507
0.010000 10000 86 1718
0.010000 10000 96 1710
0.010000 10000 81 1767
0.010000 10000 77 1665
0.010000 10000 91 1656
0.010000 10000 72 1584
0.010000 10000 76 1646
0.010000 10000 97 1619
0.010000 10000 93 1550
0.010000 10000 83 1602
0.010000 10000 72 1567
0.010000 10000 83 1644
0.010000 10000 83 1589
0.010000 10000 79 1705
0.010000 10000 73 1767
0.010000 10000 87 1595
0.010000 10000 84 1510
0.010000 10000 85 1475
