Probabilidade N TamanhoMaximo NumeroDeFalhas
0.100000 1000 33 50195
0.100000 1000 57 49770
0.100000 1000 40 50471
0.100000 1000 41 49955
0.100000 1000 74 49933
0.100000 1000 44 50127
0.100000 1000 44 49899
0.100000 1000 41 49564
0.100000 1000 59 50268
0.100000 1000 36 50117
0.100000 1000 73 49638
0.100000 1000 36 50590
0.100000 1000 41 49894
0.100000 1000 36 50017
0.100000 1000 39 49748
0.100000 1000 38 50098
0.100000 1000 63 49881
0.100000 1000 41 49752
0.100000 1000 61 50334
0.100000 1000 51 49827
0.100000 1000 69 49948
0.100000 1000 35 49686
0.100000 1000 73 50085
0.100000 1000 40 49686
0.100000 1000 36 50220
0.100000 1000 35 50293
0.100000 1000 30 49693
0.100000 1000 31 49820
0.100000 1000 56 49731
0.100000 1000 44 50139
0.100000 1000 54 49803
0.100000 1000 37 49919
0.100000 1000 48 50171
0.100000 1000 44 49760
0.100000 1000 40 49599
0.100000 1000 54 49999
0.100000 1000 68 50128
0.100000 1000 48 49878
0.100000 1000 45 50152
0.100000 1000 37 49876
0.100000 1000 66 50093
0.100000 1000 31 50448
0.100000 1000 53 50178
0.100000 1000 43 50393
0.100000 1000 36 49807
0.100000 1000 60 49521
0.100000 1000 45 50069
0.100000 1000 44 50011
0.100000 1000 48 50148
0.100000 1000 46 49701
0.100000 1000 42 50185
0.100000 1000 28 49882
0.100000 1000 73 50129
0.100000 1000 34 49803
0.100000 1000 24 50066
0.100000 1000 38 49958
0.100000 1000 69 49562
0.100000 1000 91 50091
0.100000 1000 65 49977
0.100000 1000 37 49803
0.100000 1000 52 49978
0.100000 1000 51 49969
0.100000 1000 44 49568
0.100000 1000 33 49994
0.100000 1000 49 50399
0.100000 1000 54 49973
0.100000 1000 37 49861
0.100000 1000 69 50429
0.100000 1000 39 49593
0.100000 1000 33 49816
0.100000 1000 32 49710
0.100000 1000 37 50090
0.100000 1000 35 49791
0.100000 1000 56 50019
0.100000 1000 42 49867
0.100000 1000 29 49636
0.100000 1000 43 50080
0.100000 1000 29 49807
0.100000 1000 36 49822
0.100000 1000 54 49907
0.100000 1000 41 50120
0.100000 1000 40 49745
0.100000 1000 47 50108
0.100000 1000 51 50142
0.100000 1000 58 49815
0.100000 1000 45 49600
0.100000 1000 37 49886
0.100000 1000 77 50213
0.100000 1000 84 49998
0.100000 1000 43 49820
0.100000 1000 48 50086
0.100000 1000 53 49696
0.100000 1000 71 49836
0.100000 1000 37 50496
0.100000 1000 45 49827
0.100000 1000 40 49931
0.100000 1000 39 50127
0.100000 1000 38 50084
0.100000 1000 30 50019
0.100000 1000 59 49867
