Probabilidade N TamanhoMaximo NumeroDeFalhas
0.100000 1000 12 1041
0.100000 1000 14 983
0.100000 1000 16 1016
0.100000 1000 12 991
0.100000 1000 9 948
0.100000 1000 11 980
0.100000 1000 11 981
0.100000 1000 12 968
0.100000 1000 15 1000
0.100000 1000 10 981
0.100000 1000 9 952
0.100000 1000 11 1024
0.100000 1000 13 999
0.100000 1000 11 1023
0.100000 1000 11 996
0.100000 1000 16 1001
0.100000 1000 11 987
0.100000 1000 11 950
0.100000 1000 13 1000
0.100000 1000 20 1016
0.100000 1000 10 1029
0.100000 1000 9 992
0.100000 1000 9 952
0.100000 1000 12 971
0.100000 1000 13 1021
0.100000 1000 11 999
0.100000 1000 12 1004
0.100000 1000 11 984
0.100000 1000 11 991
0.100000 1000 14 993
0.100000 1000 9 987
0.100000 1000 14 960
0.100000 1000 10 975
0.100000 1000 11 991
0.100000 1000 14 985
0.100000 1000 11 974
0.100000 1000 13 1002
0.100000 1000 12 963
0.100000 1000 13 1005
0.100000 1000 10 987
0.100000 1000 11 996
0.100000 1000 16 994
0.100000 1000 10 988
0.100000 1000 11 1007
0.100000 1000 12 995
0.100000 1000 10 1005
0.100000 1000 10 996
0.100000 1000 14 968
0.100000 1000 12 967
0.100000 1000 13 974
0.100000 1000 10 1017
0.100000 1000 14 1000
0.100000 1000 16 1061
0.100000 1000 12 953
0.100000 1000 10 1048
0.100000 1000 9 1016
0.100000 1000 10 991
0.100000 1000 11 1002
0.100000 1000 11 1013
0.100000 1000 10 992
0.100000 1000 10 1017
0.100000 1000 10 974
0.100000 1000 10 989
0.100000 1000 10 990
0.100000 1000 10 997
0.100000 1000 12 1052
0.100000 1000 12 1042
0.100000 1000 13 1020
0.100000 1000 14 969
0.100000 1000 13 971
0.100000 1000 13 997
0.100000 1000 10 987
0.100000 1000 13 973
0.100000 1000 12 1028
0.100000 1000 13 961
0.100000 1000 12 1006
0.100000 1000 11 1016
0.100000 1000 14 978
0.100000 1000 13 985
0.100000 1000 10 1093
0.100000 1000 12 1020
0.100000 1000 15 979
0.100000 1000 11 980
0.100000 1000 14 967
0.100000 1000 10 969
0.100000 1000 8 1016
0.100000 1000 10 984
0.100000 1000 11 968
0.100000 1000 11 1037
0.100000 1000 11 1035
0.100000 1000 10 1030
0.100000 1000 9 934
0.100000 1000 9 1044
0.100000 1000 10 1016
0.100000 1000 10 1014
0.100000 1000 17 924
0.100000 1000 12 950
0.100000 1000 10 1031
0.100000 1000 10 1038
0.100000 1000 13 984
