Probabilidade N TamanhoMaximo NumeroDeFalhas
0.100000 1000 15 1082
0.100000 1000 13 1006
0.100000 1000 13 1115
0.100000 1000 14 1124
0.100000 1000 13 1033
0.100000 1000 13 1044
0.100000 1000 15 997
0.100000 1000 13 1045
0.100000 1000 15 1039
0.100000 1000 12 1026
0.100000 1000 11 974
0.100000 1000 14 1062
0.100000 1000 18 996
0.100000 1000 12 1090
0.100000 1000 20 1000
0.100000 1000 17 1041
0.100000 1000 16 1020
0.100000 1000 18 1011
0.100000 1000 13 1062
0.100000 1000 12 1039
0.100000 1000 17 1082
0.100000 1000 16 1031
0.100000 1000 17 1034
0.100000 1000 13 1014
0.100000 1000 13 1136
0.100000 1000 14 1034
0.100000 1000 20 1057
0.100000 1000 16 1019
0.100000 1000 18 1033
0.100000 1000 16 1033
0.100000 1000 13 997
0.100000 1000 17 952
0.100000 1000 12 1020
0.100000 1000 12 999
0.100000 1000 13 1030
0.100000 1000 13 1009
0.100000 1000 17 1036
0.100000 1000 18 985
0.100000 1000 11 1067
0.100000 1000 17 998
0.100000 1000 17 1026
0.100000 1000 16 998
0.100000 1000 15 1036
0.100000 1000 18 1087
0.100000 1000 12 1073
0.100000 1000 13 1050
0.100000 1000 14 1028
0.100000 1000 14 1022
0.100000 1000 13 1027
0.100000 1000 15 1051
0.100000 1000 17 1059
0.100000 1000 12 992
0.100000 1000 16 1088
0.100000 1000 15 961
0.100000 1000 19 1037
0.100000 1000 11 1053
0.100000 1000 13 1005
0.100000 1000 16 1016
0.100000 1000 17 1021
0.100000 1000 13 1056
0.100000 1000 16 1047
0.100000 1000 15 1039
0.100000 1000 11 1100
0.100000 1000 21 1072
0.100000 1000 11 1011
0.100000 1000 16 1072
0.100000 1000 16 1088
0.100000 1000 14 1090
0.100000 1000 18 1055
0.100000 1000 16 1098
0.100000 1000 18 1066
0.100000 1000 13 1079
0.100000 1000 13 1015
0.100000 1000 15 1038
0.100000 1000 14 998
0.100000 1000 13 1036
0.100000 1000 15 1042
0.100000 1000 12 1019
0.100000 1000 17 1004
0.100000 1000 13 1095
0.100000 1000 12 1092
0.100000 1000 18 1013
0.100000 1000 15 1017
0.100000 1000 16 1010
0.100000 1000 12 982
0.100000 1000 14 1037
0.100000 1000 14 1001
0.100000 1000 15 1054
0.100000 1000 15 1089
0.100000 1000 11 1071
0.100000 1000 13 1042
0.100000 1000 16 989
0.100000 1000 12 1059
0.100000 1000 11 1032
0.100000 1000 12 1038
0.100000 1000 13 992
0.100000 1000 13 981
0.100000 1000 18 1062
0.100000 1000 15 1079
0.100000 1000 16 989
