Probabilidade N TamanhoMaximo NumeroDeFalhas
0.100000 1000 14 400
0.100000 1000 10 388
0.100000 1000 11 411
0.100000 1000 12 412
0.100000 1000 10 429
0.100000 1000 13 409
0.100000 1000 14 411
0.100000 1000 12 409
0.100000 1000 10 426
0.100000 1000 10 426
0.100000 1000 13 423
0.100000 1000 10 435
0.100000 1000 12 405
0.100000 1000 10 427
0.100000 1000 9 427
0.100000 1000 15 412
0.100000 1000 11 408
0.100000 1000 10 413
0.100000 1000 10 440
0.100000 1000 10 432
0.100000 1000 10 421
0.100000 1000 11 411
0.100000 1000 11 403
0.100000 1000 10 421
0.100000 1000 10 416
0.100000 1000 12 407
0.100000 1000 10 420
0.100000 1000 9 405
0.100000 1000 10 421
0.100000 1000 11 408
0.100000 1000 16 407
0.100000 1000 12 411
0.100000 1000 10 380
0.100000 1000 15 411
0.100000 1000 10 386
0.100000 1000 14 407
0.100000 1000 9 421
0.100000 1000 13 418
0.100000 1000 12 422
0.100000 1000 10 399
0.100000 1000 13 431
0.100000 1000 11 403
0.100000 1000 13 408
0.100000 1000 14 415
0.100000 1000 10 408
0.100000 1000 13 418
0.100000 1000 10 398
0.100000 1000 12 395
0.100000 1000 9 421
0.100000 1000 12 404
0.100000 1000 11 410
0.100000 1000 14 404
0.100000 1000 8 464
0.100000 1000 11 436
0.100000 1000 9 399
0.100000 1000 10 419
0.100000 1000 13 405
0.100000 1000 11 429
0.100000 1000 12 410
0.100000 1000 11 422
0.100000 1000 8 409
0.100000 1000 13 391
0.100000 1000 11 418
0.100000 1000 13 402
0.100000 1000 14 386
0.100000 1000 11 414
0.100000 1000 11 409
0.100000 1000 12 441
0.100000 1000 14 433
0.100000 1000 10 425
0.100000 1000 12 423
0.100000 1000 10 396
0.100000 1000 12 414
0.100000 1000 11 431
0.100000 1000 13 417
0.100000 1000 11 413
0.100000 1000 10 408
0.100000 1000 15 387
0.100000 1000 10 417
0.100000 1000 9 438
0.100000 1000 12 403
0.100000 1000 11 412
0.100000 1000 12 392
0.100000 1000 9 427
0.100000 1000 14 413
0.100000 1000 11 433
0.100000 1000 10 400
0.100000 1000 10 406
0.100000 1000 12 420
0.100000 1000 11 430
0.100000 1000 13 387
0.100000 1000 10 404
0.100000 1000 14 403
0.100000 1000 12 405
0.100000 1000 10 408
0.100000 1000 10 396
0.100000 1000 14 411
0.100000 1000 12 412
0.100000 1000 11 412
0.100000 1000 10 410
