Probabilidade N TamanhoMaximo NumeroDeFalhas
0.150000 1000 10 1500
0.150000 1000 10 1487
0.150000 1000 11 1506
0.150000 1000 13 1542
0.150000 1000 10 1543
0.150000 1000 11 1508
0.150000 1000 13 1491
0.150000 1000 10 1498
0.150000 1000 11 1527
0.150000 1000 11 1483
0.150000 1000 17 1495
0.150000 1000 14 1566
0.150000 1000 11 1575
0.150000 1000 12 1542
0.150000 1000 12 1511
0.150000 1000 9 1499
0.150000 1000 12 1547
0.150000 1000 12 1478
0.150000 1000 14 1437
0.150000 1000 11 1526
0.150000 1000 13 1476
0.150000 1000 10 1466
0.150000 1000 12 1464
0.150000 1000 9 1503
0.150000 1000 10 1550
0.150000 1000 11 1545
0.150000 1000 9 1422
0.150000 1000 9 1485
0.150000 1000 15 1496
0.150000 1000 12 1455
0.150000 1000 10 1626
0.150000 1000 11 1487
0.150000 1000 13 1528
0.150000 1000 10 1609
0.150000 1000 12 1506
0.150000 1000 10 1523
0.150000 1000 11 1500
0.150000 1000 10 1450
0.150000 1000 11 1472
0.150000 1000 16 1521
0.150000 1000 9 1469
0.150000 1000 9 1467
0.150000 1000 10 1517
0.150000 1000 10 1509
0.150000 1000 15 1524
0.150000 1000 12 1395
0.150000 1000 13 1465
0.150000 1000 9 1561
0.150000 1000 10 1480
0.150000 1000 10 1504
0.150000 1000 11 1458
0.150000 1000 11 1500
0.150000 1000 9 1531
0.150000 1000 12 1439
0.150000 1000 13 1469
0.150000 1000 14 1466
0.150000 1000 10 1556
0.150000 1000 11 1423
0.150000 1000 10 1537
0.150000 1000 9 1512
0.150000 1000 10 1505
0.150000 1000 11 1461
0.150000 1000 11 1458
0.150000 1000 12 1453
0.150000 1000 12 1414
0.150000 1000 10 1490
0.150000 1000 9 1524
0.150000 1000 10 1532
0.150000 1000 12 1459
0.150000 1000 13 1524
0.150000 1000 10 1554
0.150000 1000 10 1484
0.150000 1000 13 1491
0.150000 1000 11 1520
0.150000 1000 11 1464
0.150000 1000 11 1454
0.150000 1000 15 1529
0.150000 1000 11 1466
0.150000 1000 12 1524
0.150000 1000 14 1493
0.150000 1000 10 1524
0.150000 1000 10 1505
0.150000 1000 11 1369
0.150000 1000 11 1469
0.150000 1000 10 1465
0.150000 1000 9 1543
0.150000 1000 10 1447
0.150000 1000 12 1481
0.150000 1000 10 1490
0.150000 1000 13 1464
0.150000 1000 9 1461
0.150000 1000 11 1509
0.150000 1000 11 1456
0.150000 1000 12 1520
0.150000 1000 13 1504
0.150000 1000 12 1437
0.150000 1000 11 1553
0.150000 1000 10 1561
0.150000 1000 13 1525
0.150000 1000 9 1510
