Probabilidade N TamanhoMaximo NumeroDeFalhas
0.150000 1000 8 494
0.150000 1000 8 479
0.150000 1000 10 485
0.150000 1000 12 496
0.150000 1000 13 497
0.150000 1000 9 485
0.150000 1000 12 478
0.150000 1000 9 510
0.150000 1000 8 517
0.150000 1000 9 517
0.150000 1000 9 490
0.150000 1000 12 496
0.150000 1000 9 513
0.150000 1000 9 493
0.150000 1000 9 484
0.150000 1000 9 466
0.150000 1000 10 467
0.150000 1000 10 479
0.150000 1000 12 470
0.150000 1000 10 518
0.150000 1000 10 475
0.150000 1000 8 488
0.150000 1000 11 501
0.150000 1000 9 478
0.150000 1000 7 514
0.150000 1000 9 481
0.150000 1000 10 475
0.150000 1000 8 474
0.150000 1000 10 499
0.150000 1000 9 483
0.150000 1000 10 489
0.150000 1000 10 506
0.150000 1000 10 495
0.150000 1000 8 505
0.150000 1000 9 480
0.150000 1000 9 509
0.150000 1000 8 477
0.150000 1000 11 501
0.150000 1000 9 513
0.150000 1000 10 475
0.150000 1000 11 484
0.150000 1000 8 456
0.150000 1000 9 487
0.150000 1000 8 490
0.150000 1000 9 472
0.150000 1000 10 487
0.150000 1000 12 486
0.150000 1000 7 493
0.150000 1000 9 481
0.150000 1000 8 477
0.150000 1000 10 459
0.150000 1000 10 488
0.150000 1000 9 466
0.150000 1000 9 494
0.150000 1000 11 489
0.150000 1000 10 484
0.150000 1000 9 499
0.150000 1000 10 516
0.150000 1000 9 503
0.150000 1000 8 494
0.150000 1000 9 510
0.150000 1000 9 477
0.150000 1000 9 483
0.150000 1000 10 480
0.150000 1000 10 483
0.150000 1000 8 473
0.150000 1000 8 488
0.150000 1000 12 493
0.150000 1000 10 475
0.150000 1000 10 502
0.150000 1000 9 481
0.150000 1000 8 513
0.150000 1000 8 494
0.150000 1000 10 471
0.150000 1000 8 500
0.150000 1000 11 478
0.150000 1000 10 477
0.150000 1000 12 478
0.150000 1000 11 502
0.150000 1000 9 511
0.150000 1000 8 502
0.150000 1000 10 522
0.150000 1000 10 454
0.150000 1000 10 475
0.150000 1000 12 507
0.150000 1000 10 472
0.150000 1000 10 468
0.150000 1000 10 477
0.150000 1000 8 487
0.150000 1000 8 483
0.150000 1000 9 497
0.150000 1000 11 507
0.150000 1000 10 485
0.150000 1000 9 509
0.150000 1000 10 480
0.150000 1000 13 483
0.150000 1000 9 473
0.150000 1000 10 502
0.150000 1000 15 488
0.150000 1000 9 513
