Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 1000 28 166
0.010000 1000 24 167
0.010000 1000 24 173
0.010000 1000 24 147
0.010000 1000 23 162
0.010000 1000 26 155
0.010000 1000 29 147
0.010000 1000 35 156
0.010000 1000 25 149
0.010000 1000 32 138
0.010000 1000 27 168
0.010000 1000 23 155
0.010000 1000 29 165
0.010000 1000 26 160
0.010000 1000 29 161
0.010000 1000 21 172
0.010000 1000 38 156
0.010000 1000 23 149
0.010000 1000 26 152
0.010000 1000 32 163
0.010000 1000 27 171
0.010000 1000 26 150
0.010000 1000 18 172
0.010000 1000 35 149
0.010000 1000 23 158
0.010000 1000 23 151
0.010000 1000 27 160
0.010000 1000 21 175
0.010000 1000 25 153
0.010000 1000 24 167
0.010000 1000 31 161
0.010000 1000 23 157
0.010000 1000 25 154
0.010000 1000 25 153
0.010000 1000 22 151
0.010000 1000 40 159
0.010000 1000 26 164
0.010000 1000 37 160
0.010000 1000 25 168
0.010000 1000 20 171
0.010000 1000 28 148
0.010000 1000 25 182
0.010000 1000 25 147
0.010000 1000 29 164
0.010000 1000 23 166
0.010000 1000 34 149
0.010000 1000 23 161
0.010000 1000 28 145
0.010000 1000 22 151
0.010000 1000 28 161
0.010000 1000 27 154
0.010000 1000 29 154
0.010000 1000 28 152
0.010000 1000 32 155
0.010000 1000 27 159
0.010000 1000 23 147
0.010000 1000 30 161
0.010000 1000 29 156
0.010000 1000 23 166
0.010000 1000 26 152
0.010000 1000 33 158
0.010000 1000 24 155
0.010000 1000 34 147
0.010000 1000 35 137
0.010000 1000 21 165
0.010000 1000 29 153
0.010000 1000 28 150
0.010000 1000 26 139
0.010000 1000 27 167
0.010000 1000 24 148
0.010000 1000 23 159
0.010000 1000 30 149
0.010000 1000 25 131
0.010000 1000 34 148
0.010000 1000 25 148
0.010000 1000 28 150
0.010000 1000 26 155
0.010000 1000 34 158
0.010000 1000 24 167
0.010000 1000 32 139
0.010000 1000 34 163
0.010000 1000 27 148
0.010000 1000 27 148
0.010000 1000 27 152
0.010000 1000 33 161
0.010000 1000 37 159
0.010000 1000 22 167
0.010000 1000 26 147
0.010000 1000 20 171
0.010000 1000 23 163
0.010000 1000 29 145
0.010000 1000 40 150
0.010000 1000 27 151
0.010000 1000 24 170
0.010000 1000 36 158
0.010000 1000 26 152
0.010000 1000 27 177
0.010000 1000 30 155
0.010000 1000 22 172
0.010000 1000 30 158
