Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 1000 67 97
0.010000 1000 90 100
0.010000 1000 65 117
0.010000 1000 48 103
0.010000 1000 69 93
0.010000 1000 57 109
0.010000 1000 58 95
0.010000 1000 46 103
0.010000 1000 81 106
0.010000 1000 67 96
0.010000 1000 69 100
0.010000 1000 67 102
0.010000 1000 41 114
0.010000 1000 55 109
0.010000 1000 58 82
0.010000 1000 54 114
0.010000 1000 55 96
0.010000 1000 45 95
0.010000 1000 60 82
0.010000 1000 46 102
0.010000 1000 100 120
0.010000 1000 41 100
0.010000 1000 50 108
0.010000 1000 59 119
0.010000 1000 56 100
0.010000 1000 66 84
0.010000 1000 66 97
0.010000 1000 76 110
0.010000 1000 41 103
0.010000 1000 45 107
0.010000 1000 68 94
0.010000 1000 58 115
0.010000 1000 58 115
0.010000 1000 54 106
0.010000 1000 79 107
0.010000 1000 53 97
0.010000 1000 60 99
0.010000 1000 51 100
0.010000 1000 58 101
0.010000 1000 45 105
0.010000 1000 54 95
0.010000 1000 68 121
0.010000 1000 120 90
0.010000 1000 47 102
0.010000 1000 53 120
0.010000 1000 49 96
0.010000 1000 58 99
0.010000 1000 83 79
0.010000 1000 74 96
0.010000 1000 53 103
0.010000 1000 54 101
0.010000 1000 47 107
0.010000 1000 96 99
0.010000 1000 58 86
0.010000 1000 63 99
0.010000 1000 86 103
0.010000 1000 97 100
0.010000 1000 74 87
0.010000 1000 65 123
0.010000 1000 88 96
0.010000 1000 58 98
0.010000 1000 88 91
0.010000 1000 83 95
0.010000 1000 81 99
0.010000 1000 86 103
0.010000 1000 57 89
0.010000 1000 63 98
0.010000 1000 40 102
0.010000 1000 84 107
0.010000 1000 91 96
0.010000 1000 43 90
0.010000 1000 51 105
0.010000 1000 71 91
0.010000 1000 66 97
0.010000 1000 82 99
0.010000 1000 47 92
0.010000 1000 91 104
0.010000 1000 66 87
0.010000 1000 54 111
0.010000 1000 58 105
0.010000 1000 94 104
0.010000 1000 50 98
0.010000 1000 53 104
0.010000 1000 59 87
0.010000 1000 46 108
0.010000 1000 65 109
0.010000 1000 70 114
0.010000 1000 57 95
0.010000 1000 56 98
0.010000 1000 61 101
0.010000 1000 53 98
0.010000 1000 56 104
0.010000 1000 79 83
0.010000 1000 62 94
0.010000 1000 63 93
0.010000 1000 67 99
0.010000 1000 43 103
0.010000 1000 48 95
0.010000 1000 59 111
0.010000 1000 49 107
