Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 1000 184 4984
0.010000 1000 305 5065
0.010000 1000 147 5031
0.010000 1000 228 4999
0.010000 1000 243 4933
0.010000 1000 129 4994
0.010000 1000 194 5083
0.010000 1000 219 4989
0.010000 1000 311 5019
0.010000 1000 338 4897
0.010000 1000 217 4959
0.010000 1000 294 4920
0.010000 1000 255 4989
0.010000 1000 251 4916
0.010000 1000 259 4849
0.010000 1000 164 5056
0.010000 1000 119 4830
0.010000 1000 133 4900
0.010000 1000 218 4982
0.010000 1000 169 4985
0.010000 1000 288 5086
0.010000 1000 175 4887
0.010000 1000 277 5075
0.010000 1000 131 4997
0.010000 1000 230 4962
0.010000 1000 222 4997
0.010000 1000 479 4845
0.010000 1000 171 5055
0.010000 1000 356 5085
0.010000 1000 102 5068
0.010000 1000 228 4953
0.010000 1000 319 4912
0.010000 1000 160 4925
0.010000 1000 186 4990
0.010000 1000 474 5039
0.010000 1000 276 4976
0.010000 1000 213 4894
0.010000 1000 176 4965
0.010000 1000 185 4976
0.010000 1000 159 4972
0.010000 1000 186 4921
0.010000 1000 180 5056
0.010000 1000 272 5020
0.010000 1000 269 5073
0.010000 1000 271 5021
0.010000 1000 173 4879
0.010000 1000 145 5108
0.010000 1000 210 4859
0.010000 1000 183 4992
0.010000 1000 302 4999
0.010000 1000 217 4890
0.010000 1000 191 5009
0.010000 1000 217 4978
0.010000 1000 158 5136
0.010000 1000 268 4992
0.010000 1000 362 5001
0.010000 1000 231 4905
0.010000 1000 177 5086
0.010000 1000 171 5114
0.010000 1000 230 4981
0.010000 1000 292 4877
0.010000 1000 426 5023
0.010000 1000 292 4998
0.010000 1000 290 4988
0.010000 1000 174 5023
0.010000 1000 173 5026
0.010000 1000 197 4984
0.010000 1000 168 4917
0.010000 1000 111 5028
0.010000 1000 178 4909
0.010000 1000 188 4851
0.010000 1000 201 4878
0.010000 1000 222 4938
0.010000 1000 183 5007
0.010000 1000 368 5001
0.010000 1000 275 4910
0.010000 1000 217 5054
0.010000 1000 454 5052
0.010000 1000 225 5050
0.010000 1000 297 4854
0.010000 1000 238 4892
0.010000 1000 225 4991
0.010000 1000 170 4943
0.010000 1000 192 4867
0.010000 1000 144 4863
0.010000 1000 227 5104
0.010000 1000 245 4972
0.010000 1000 174 4865
0.010000 1000 193 4982
0.010000 1000 179 4902
0.010000 1000 306 4832
0.010000 1000 216 4933
0.010000 1000 181 5074
0.010000 1000 231 4878
0.010000 1000 226 4909
0.010000 1000 227 4943
0.010000 1000 254 5018
0.010000 1000 204 4971
0.010000 1000 324 4984
0.010000 1000 243 5032
