Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 6000 77 742
0.010000 6000 58 774
0.010000 6000 51 818
0.010000 6000 84 730
0.010000 6000 74 791
0.010000 6000 57 781
0.010000 6000 61 778
0.010000 6000 86 719
0.010000 6000 61 747
0.010000 6000 53 763
0.010000 6000 68 749
0.010000 6000 71 764
0.010000 6000 80 774
0.010000 6000 95 728
0.010000 6000 91 703
0.010000 6000 72 761
0.010000 6000 62 745
0.010000 6000 63 757
0.010000 6000 51 743
0.010000 6000 78 741
0.010000 6000 75 783
0.010000 6000 78 743
0.010000 6000 75 709
0.010000 6000 70 760
0.010000 6000 92 749
0.010000 6000 51 740
0.010000 6000 67 778
0.010000 6000 66 682
0.010000 6000 71 749
0.010000 6000 91 736
0.010000 6000 69 743
0.010000 6000 60 752
0.010000 6000 59 781
0.010000 6000 97 800
0.010000 6000 56 772
0.010000 6000 68 787
0.010000 6000 70 786
0.010000 6000 52 808
0.010000 6000 98 729
0.010000 6000 76 755
0.010000 6000 67 766
0.010000 6000 78 741
0.010000 6000 53 748
0.010000 6000 63 760
0.010000 6000 77 745
0.010000 6000 63 740
0.010000 6000 55 787
0.010000 6000 57 761
0.010000 6000 69 765
0.010000 6000 61 740
0.010000 6000 57 760
0.010000 6000 51 732
0.010000 6000 72 767
0.010000 6000 82 768
0.010000 6000 96 764
0.010000 6000 55 780
0.010000 6000 89 755
0.010000 6000 82 802
0.010000 6000 65 758
0.010000 6000 51 805
0.010000 6000 88 710
0.010000 6000 78 769
0.010000 6000 67 767
0.010000 6000 84 738
0.010000 6000 65 753
0.010000 6000 65 717
0.010000 6000 98 741
0.010000 6000 71 731
0.010000 6000 79 722
0.010000 6000 72 751
0.010000 6000 85 764
0.010000 6000 66 781
0.010000 6000 82 750
0.010000 6000 70 728
0.010000 6000 78 742
0.010000 6000 85 758
0.010000 6000 50 808
0.010000 6000 69 774
0.010000 6000 78 787
0.010000 6000 63 709
0.010000 6000 59 771
0.010000 6000 61 710
0.010000 6000 60 700
0.010000 6000 72 744
0.010000 6000 55 787
0.010000 6000 76 741
0.010000 6000 64 801
0.010000 6000 53 850
0.010000 6000 79 760
0.010000 6000 76 746
0.010000 6000 68 718
0.010000 6000 78 766
0.010000 6000 56 752
0.010000 6000 82 744
0.010000 6000 50 754
0.010000 6000 60 753
0.010000 6000 72 722
0.010000 6000 58 778
0.010000 6000 77 759
0.010000 6000 51 779
