Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 6000 93 853
0.010000 6000 88 970
0.010000 6000 84 860
0.010000 6000 82 872
0.010000 6000 95 926
0.010000 6000 102 925
0.010000 6000 99 915
0.010000 6000 104 890
0.010000 6000 85 971
0.010000 6000 94 957
0.010000 6000 70 924
0.010000 6000 86 872
0.010000 6000 97 865
0.010000 6000 74 739
0.010000 6000 94 798
0.010000 6000 83 912
0.010000 6000 86 921
0.010000 6000 111 898
0.010000 6000 79 852
0.010000 6000 88 950
0.010000 6000 104 890
0.010000 6000 91 875
0.010000 6000 91 829
0.010000 6000 84 898
0.010000 6000 60 886
0.010000 6000 88 900
0.010000 6000 75 968
0.010000 6000 123 848
0.010000 6000 116 851
0.010000 6000 101 871
0.010000 6000 85 891
0.010000 6000 81 908
0.010000 6000 78 932
0.010000 6000 104 877
0.010000 6000 103 956
0.010000 6000 75 905
0.010000 6000 97 834
0.010000 6000 93 904
0.010000 6000 78 950
0.010000 6000 68 874
0.010000 6000 74 891
0.010000 6000 78 863
0.010000 6000 69 912
0.010000 6000 136 910
0.010000 6000 98 920
0.010000 6000 81 888
0.010000 6000 85 913
0.010000 6000 89 884
0.010000 6000 64 919
0.010000 6000 108 883
0.010000 6000 83 877
0.010000 6000 113 812
0.010000 6000 97 889
0.010000 6000 66 865
0.010000 6000 80 894
0.010000 6000 96 887
0.010000 6000 77 980
0.010000 6000 86 1003
0.010000 6000 70 904
0.010000 6000 105 888
0.010000 6000 85 805
0.010000 6000 89 949
0.010000 6000 68 1034
0.010000 6000 95 852
0.010000 6000 77 877
0.010000 6000 86 865
0.010000 6000 64 894
0.010000 6000 80 878
0.010000 6000 114 856
0.010000 6000 101 907
0.010000 6000 83 885
0.010000 6000 95 926
0.010000 6000 80 849
0.010000 6000 116 1005
0.010000 6000 80 971
0.010000 6000 81 921
0.010000 6000 63 923
0.010000 6000 82 918
0.010000 6000 70 856
0.010000 6000 120 865
0.010000 6000 85 887
0.010000 6000 100 971
0.010000 6000 71 840
0.010000 6000 105 869
0.010000 6000 62 892
0.010000 6000 94 828
0.010000 6000 81 871
0.010000 6000 88 994
0.010000 6000 98 921
0.010000 6000 61 958
0.010000 6000 82 870
0.010000 6000 124 889
0.010000 6000 109 867
0.010000 6000 73 878
0.010000 6000 98 955
0.010000 6000 89 899
0.010000 6000 118 874
0.010000 6000 97 892
0.010000 6000 98 921
0.010000 6000 87 953
