Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 8000 56 1056
0.010000 8000 68 1058
0.010000 8000 96 1055
0.010000 8000 77 975
0.010000 8000 61 1098
0.010000 8000 81 985
0.010000 8000 72 1023
0.010000 8000 69 992
0.010000 8000 82 1039
0.010000 8000 104 1057
0.010000 8000 72 1019
0.010000 8000 63 1013
0.010000 8000 63 1016
0.010000 8000 69 1046
0.010000 8000 52 1019
0.010000 8000 49 1043
0.010000 8000 46 1043
0.010000 8000 69 995
0.010000 8000 70 1008
0.010000 8000 56 1095
0.010000 8000 53 1038
0.010000 8000 70 1042
0.010000 8000 56 1064
0.010000 8000 54 1054
0.010000 8000 66 985
0.010000 8000 74 1030
0.010000 8000 68 969
0.010000 8000 66 1029
0.010000 8000 87 1038
0.010000 8000 65 1035
0.010000 8000 69 1074
0.010000 8000 82 1048
0.010000 8000 67 1033
0.010000 8000 62 1017
0.010000 8000 80 1006
0.010000 8000 61 1057
0.010000 8000 85 1003
0.010000 8000 82 1024
0.010000 8000 59 1026
0.010000 8000 58 1072
0.010000 8000 81 1028
0.010000 8000 53 1036
0.010000 8000 59 978
0.010000 8000 89 1064
0.010000 8000 56 1089
0.010000 8000 47 1054
0.010000 8000 58 1044
0.010000 8000 70 1068
0.010000 8000 60 1048
0.010000 8000 69 1088
0.010000 8000 71 1010
0.010000 8000 77 1031
0.010000 8000 60 1010
0.010000 8000 67 1040
0.010000 8000 57 1027
0.010000 8000 52 1066
0.010000 8000 56 997
0.010000 8000 67 1019
0.010000 8000 82 977
0.010000 8000 74 998
0.010000 8000 77 1030
0.010000 8000 136 1045
0.010000 8000 81 1024
0.010000 8000 60 1094
0.010000 8000 74 1028
0.010000 8000 60 1048
0.010000 8000 82 1031
0.010000 8000 70 1016
0.010000 8000 77 989
0.010000 8000 70 1046
0.010000 8000 61 1081
0.010000 8000 58 1032
0.010000 8000 75 1011
0.010000 8000 61 1063
0.010000 8000 74 1054
0.010000 8000 60 1044
0.010000 8000 137 998
0.010000 8000 63 1105
0.010000 8000 65 1057
0.010000 8000 46 1070
0.010000 8000 84 1005
0.010000 8000 61 1018
0.010000 8000 73 983
0.010000 8000 73 1039
0.010000 8000 70 1006
0.010000 8000 98 1028
0.010000 8000 65 1047
0.010000 8000 95 1057
0.010000 8000 68 1019
0.010000 8000 76 1038
0.010000 8000 55 1118
0.010000 8000 80 1038
0.010000 8000 62 1055
0.010000 8000 55 1056
0.010000 8000 62 1060
0.010000 8000 96 1053
0.010000 8000 78 1009
0.010000 8000 57 1020
0.010000 8000 65 1032
0.010000 8000 59 1018
