Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 8000 83 1205
0.010000 8000 81 1307
0.010000 8000 99 1257
0.010000 8000 104 1135
0.010000 8000 92 1338
0.010000 8000 94 1350
0.010000 8000 99 1312
0.010000 8000 89 1320
0.010000 8000 91 1247
0.010000 8000 70 1212
0.010000 8000 81 1307
0.010000 8000 98 1174
0.010000 8000 74 1265
0.010000 8000 95 1208
0.010000 8000 108 1239
0.010000 8000 114 1189
0.010000 8000 71 1200
0.010000 8000 91 1314
0.010000 8000 78 1227
0.010000 8000 81 1274
0.010000 8000 86 1365
0.010000 8000 87 1187
0.010000 8000 80 1262
0.010000 8000 108 1245
0.010000 8000 73 1150
0.010000 8000 99 1228
0.010000 8000 90 1159
0.010000 8000 112 1250
0.010000 8000 79 1227
0.010000 8000 102 1281
0.010000 8000 97 1230
0.010000 8000 90 1187
0.010000 8000 71 1157
0.010000 8000 129 1199
0.010000 8000 84 1354
0.010000 8000 95 1274
0.010000 8000 81 1336
0.010000 8000 77 1214
0.010000 8000 75 1117
0.010000 8000 82 1232
0.010000 8000 64 1242
0.010000 8000 82 1165
0.010000 8000 147 1244
0.010000 8000 94 1232
0.010000 8000 71 1227
0.010000 8000 77 1203
0.010000 8000 71 1172
0.010000 8000 100 1290
0.010000 8000 71 1264
0.010000 8000 86 1294
0.010000 8000 89 1206
0.010000 8000 122 1214
0.010000 8000 92 1256
0.010000 8000 82 1236
0.010000 8000 83 1198
0.010000 8000 91 1225
0.010000 8000 97 1229
0.010000 8000 80 1246
0.010000 8000 96 1125
0.010000 8000 97 1308
0.010000 8000 80 1234
0.010000 8000 73 1288
0.010000 8000 90 1373
0.010000 8000 73 1405
0.010000 8000 73 1253
0.010000 8000 85 1276
0.010000 8000 91 1161
0.010000 8000 68 1262
0.010000 8000 95 1159
0.010000 8000 95 1245
0.010000 8000 87 1289
0.010000 8000 74 1218
0.010000 8000 84 1271
0.010000 8000 84 1221
0.010000 8000 101 1223
0.010000 8000 105 1261
0.010000 8000 80 1175
0.010000 8000 89 1225
0.010000 8000 148 1207
0.010000 8000 83 1230
0.010000 8000 80 1247
0.010000 8000 89 1302
0.010000 8000 72 1211
0.010000 8000 81 1196
0.010000 8000 118 1270
0.010000 8000 113 1297
0.010000 8000 80 1224
0.010000 8000 104 1251
0.010000 8000 96 1249
0.010000 8000 73 1273
0.010000 8000 95 1302
0.010000 8000 128 1295
0.010000 8000 71 1309
0.010000 8000 93 1275
0.010000 8000 74 1330
0.010000 8000 85 1314
0.010000 8000 96 1159
0.010000 8000 100 1190
0.010000 8000 96 1359
0.010000 8000 89 1245
