Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 8000 666 319699
0.010000 8000 575 320186
0.010000 8000 448 319866
0.010000 8000 1582 318971
0.010000 8000 342 319500
0.010000 8000 510 320552
0.010000 8000 591 320390
0.010000 8000 579 320337
0.010000 8000 655 320017
0.010000 8000 638 319730
0.010000 8000 501 319843
0.010000 8000 435 320780
0.010000 8000 698 319679
0.010000 8000 619 320296
0.010000 8000 481 319900
0.010000 8000 321 319431
0.010000 8000 472 319347
0.010000 8000 736 319961
0.010000 8000 824 319722
0.010000 8000 491 319964
0.010000 8000 589 319797
0.010000 8000 463 319617
0.010000 8000 564 319642
0.010000 8000 603 320137
0.010000 8000 553 319474
0.010000 8000 506 319482
0.010000 8000 382 320163
0.010000 8000 324 319415
0.010000 8000 1122 319824
0.010000 8000 543 319831
0.010000 8000 423 320074
0.010000 8000 524 320737
0.010000 8000 743 319809
0.010000 8000 387 319109
0.010000 8000 525 320163
0.010000 8000 497 319665
0.010000 8000 387 320677
0.010000 8000 464 319930
0.010000 8000 564 319819
0.010000 8000 610 319774
0.010000 8000 461 319892
0.010000 8000 410 319577
0.010000 8000 634 319344
0.010000 8000 442 319736
0.010000 8000 849 319832
0.010000 8000 718 318970
0.010000 8000 421 318981
0.010000 8000 511 320331
0.010000 8000 527 319341
0.010000 8000 871 319507
0.010000 8000 397 319665
0.010000 8000 603 320016
0.010000 8000 647 320924
0.010000 8000 464 319502
0.010000 8000 699 320178
0.010000 8000 552 320030
0.010000 8000 348 320062
0.010000 8000 447 319570
0.010000 8000 388 320121
0.010000 8000 686 320371
0.010000 8000 395 320702
0.010000 8000 625 318910
0.010000 8000 712 319916
0.010000 8000 513 319834
0.010000 8000 811 318435
0.010000 8000 470 319469
0.010000 8000 398 320017
0.010000 8000 628 319609
0.010000 8000 408 319389
0.010000 8000 536 320165
0.010000 8000 450 319836
0.010000 8000 607 319949
0.010000 8000 502 318957
0.010000 8000 672 320116
0.010000 8000 314 320180
0.010000 8000 541 319501
0.010000 8000 582 318606
0.010000 8000 422 320865
0.010000 8000 764 319885
0.010000 8000 538 319121
0.010000 8000 1050 320758
0.010000 8000 1091 320045
0.010000 8000 482 319722
0.010000 8000 390 320243
0.010000 8000 535 320867
0.010000 8000 487 319558
0.010000 8000 454 319452
0.010000 8000 521 319288
0.010000 8000 404 319969
0.010000 8000 622 320419
0.010000 8000 746 320127
0.010000 8000 562 320034
0.010000 8000 364 319929
0.010000 8000 835 320473
0.010000 8000 587 320041
0.010000 8000 799 319921
0.010000 8000 682 320256
0.010000 8000 459 319683
0.010000 8000 619 319068
0.010000 8000 751 319128
