Probabilidade N TamanhoMaximo NumeroDeFalhas
0.050000 1000 23 587
0.050000 1000 29 552
0.050000 1000 17 507
0.050000 1000 30 517
0.050000 1000 27 569
0.050000 1000 17 572
0.050000 1000 17 649
0.050000 1000 23 560
0.050000 1000 20 561
0.050000 1000 21 485
0.050000 1000 21 544
0.050000 1000 18 558
0.050000 1000 20 547
0.050000 1000 20 549
0.050000 1000 18 574
0.050000 1000 31 554
0.050000 1000 28 567
0.050000 1000 32 513
0.050000 1000 22 565
0.050000 1000 28 514
0.050000 1000 27 471
0.050000 1000 21 529
0.050000 1000 23 545
0.050000 1000 22 548
0.050000 1000 22 583
0.050000 1000 32 547
0.050000 1000 20 566
0.050000 1000 35 517
0.050000 1000 20 513
0.050000 1000 19 542
0.050000 1000 21 533
0.050000 1000 18 528
0.050000 1000 19 531
0.050000 1000 21 546
0.050000 1000 24 583
0.050000 1000 24 586
0.050000 1000 22 508
0.050000 1000 24 554
0.050000 1000 22 537
0.050000 1000 25 537
0.050000 1000 20 552
0.050000 1000 19 553
0.050000 1000 28 563
0.050000 1000 26 563
0.050000 1000 31 562
0.050000 1000 19 572
0.050000 1000 26 571
0.050000 1000 17 535
0.050000 1000 17 540
0.050000 1000 19 517
0.050000 1000 20 530
0.050000 1000 22 568
0.050000 1000 21 523
0.050000 1000 22 528
0.050000 1000 19 521
0.050000 1000 18 590
0.050000 1000 21 530
0.050000 1000 27 536
0.050000 1000 19 530
0.050000 1000 22 577
0.050000 1000 25 557
0.050000 1000 26 562
0.050000 1000 19 544
0.050000 1000 23 573
0.050000 1000 24 490
0.050000 1000 19 543
0.050000 1000 23 532
0.050000 1000 14 545
0.050000 1000 18 533
0.050000 1000 21 542
0.050000 1000 24 551
0.050000 1000 21 579
0.050000 1000 24 518
0.050000 1000 20 525
0.050000 1000 19 612
0.050000 1000 17 535
0.050000 1000 23 527
0.050000 1000 27 571
0.050000 1000 23 505
0.050000 1000 26 570
0.050000 1000 21 542
0.050000 1000 24 503
0.050000 1000 21 560
0.050000 1000 27 536
0.050000 1000 18 542
0.050000 1000 29 465
0.050000 1000 31 508
0.050000 1000 28 515
0.050000 1000 24 503
0.050000 1000 27 556
0.050000 1000 21 557
0.050000 1000 20 555
0.050000 1000 22 546
0.050000 1000 21 549
0.050000 1000 22 618
0.050000 1000 21 570
0.050000 1000 18 555
0.050000 1000 24 551
0.050000 1000 24 568
0.050000 1000 21 553
