Probabilidade N TamanhoMaximo NumeroDeFalhas
0.050000 1000 13 310
0.050000 1000 15 310
0.050000 1000 19 314
0.050000 1000 16 298
0.050000 1000 15 305
0.050000 1000 14 286
0.050000 1000 16 308
0.050000 1000 16 300
0.050000 1000 15 315
0.050000 1000 16 303
0.050000 1000 13 311
0.050000 1000 14 302
0.050000 1000 15 309
0.050000 1000 14 304
0.050000 1000 15 298
0.050000 1000 16 302
0.050000 1000 15 318
0.050000 1000 17 306
0.050000 1000 15 327
0.050000 1000 14 313
0.050000 1000 15 304
0.050000 1000 16 303
0.050000 1000 13 306
0.050000 1000 13 305
0.050000 1000 16 301
0.050000 1000 17 315
0.050000 1000 16 312
0.050000 1000 12 303
0.050000 1000 11 299
0.050000 1000 15 318
0.050000 1000 17 312
0.050000 1000 15 297
0.050000 1000 16 292
0.050000 1000 16 284
0.050000 1000 14 332
0.050000 1000 15 291
0.050000 1000 17 280
0.050000 1000 16 306
0.050000 1000 14 298
0.050000 1000 15 298
0.050000 1000 17 323
0.050000 1000 18 298
0.050000 1000 16 306
0.050000 1000 18 309
0.050000 1000 15 309
0.050000 1000 13 303
0.050000 1000 20 321
0.050000 1000 13 309
0.050000 1000 17 289
0.050000 1000 16 286
0.050000 1000 14 312
0.050000 1000 13 290
0.050000 1000 16 310
0.050000 1000 17 309
0.050000 1000 14 310
0.050000 1000 14 337
0.050000 1000 19 310
0.050000 1000 14 305
0.050000 1000 14 296
0.050000 1000 13 316
0.050000 1000 15 303
0.050000 1000 14 317
0.050000 1000 15 307
0.050000 1000 13 310
0.050000 1000 13 309
0.050000 1000 18 309
0.050000 1000 14 311
0.050000 1000 15 305
0.050000 1000 16 303
0.050000 1000 15 303
0.050000 1000 14 302
0.050000 1000 12 295
0.050000 1000 14 306
0.050000 1000 14 304
0.050000 1000 15 294
0.050000 1000 13 337
0.050000 1000 17 289
0.050000 1000 14 284
0.050000 1000 13 317
0.050000 1000 17 296
0.050000 1000 13 315
0.050000 1000 15 311
0.050000 1000 18 300
0.050000 1000 15 312
0.050000 1000 17 310
0.050000 1000 11 310
0.050000 1000 15 300
0.050000 1000 12 314
0.050000 1000 12 294
0.050000 1000 13 309
0.050000 1000 13 323
0.050000 1000 15 307
0.050000 1000 17 290
0.050000 1000 13 322
0.050000 1000 11 315
0.050000 1000 12 325
0.050000 1000 13 294
0.050000 1000 15 317
0.050000 1000 13 335
0.050000 1000 17 310
