Probabilidade N TamanhoMaximo NumeroDeFalhas
0.050000 1000 14 523
0.050000 1000 17 531
0.050000 1000 12 469
0.050000 1000 17 494
0.050000 1000 13 484
0.050000 1000 18 498
0.050000 1000 20 495
0.050000 1000 15 522
0.050000 1000 19 517
0.050000 1000 32 461
0.050000 1000 19 512
0.050000 1000 20 524
0.050000 1000 20 501
0.050000 1000 18 506
0.050000 1000 18 536
0.050000 1000 19 487
0.050000 1000 17 501
0.050000 1000 17 496
0.050000 1000 18 516
0.050000 1000 18 503
0.050000 1000 26 455
0.050000 1000 19 453
0.050000 1000 13 497
0.050000 1000 17 500
0.050000 1000 18 522
0.050000 1000 17 512
0.050000 1000 18 510
0.050000 1000 17 471
0.050000 1000 14 497
0.050000 1000 15 516
0.050000 1000 18 488
0.050000 1000 18 494
0.050000 1000 14 488
0.050000 1000 14 519
0.050000 1000 19 546
0.050000 1000 14 492
0.050000 1000 25 469
0.050000 1000 19 492
0.050000 1000 19 504
0.050000 1000 24 495
0.050000 1000 15 486
0.050000 1000 14 512
0.050000 1000 19 490
0.050000 1000 15 531
0.050000 1000 14 504
0.050000 1000 17 489
0.050000 1000 15 528
0.050000 1000 18 486
0.050000 1000 23 497
0.050000 1000 23 483
0.050000 1000 22 464
0.050000 1000 18 508
0.050000 1000 16 483
0.050000 1000 19 505
0.050000 1000 19 493
0.050000 1000 15 533
0.050000 1000 17 514
0.050000 1000 20 497
0.050000 1000 14 473
0.050000 1000 18 498
0.050000 1000 18 483
0.050000 1000 24 499
0.050000 1000 18 494
0.050000 1000 21 503
0.050000 1000 17 451
0.050000 1000 20 495
0.050000 1000 19 495
0.050000 1000 20 481
0.050000 1000 18 518
0.050000 1000 17 477
0.050000 1000 18 483
0.050000 1000 20 497
0.050000 1000 13 498
0.050000 1000 17 519
0.050000 1000 17 518
0.050000 1000 20 495
0.050000 1000 15 496
0.050000 1000 16 512
0.050000 1000 17 472
0.050000 1000 18 523
0.050000 1000 12 502
0.050000 1000 17 484
0.050000 1000 19 487
0.050000 1000 17 509
0.050000 1000 13 458
0.050000 1000 27 453
0.050000 1000 17 486
0.050000 1000 16 491
0.050000 1000 20 497
0.050000 1000 22 517
0.050000 1000 16 515
0.050000 1000 17 515
0.050000 1000 24 480
0.050000 1000 16 509
0.050000 1000 16 486
0.050000 1000 22 524
0.050000 1000 18 484
0.050000 1000 14 503
0.050000 1000 17 537
0.050000 1000 16 527
