Probabilidade N TamanhoMaximo NumeroDeFalhas
0.050000 1000 66 24780
0.050000 1000 123 24958
0.050000 1000 101 25144
0.050000 1000 137 25072
0.050000 1000 127 25056
0.050000 1000 115 24990
0.050000 1000 65 25289
0.050000 1000 85 25228
0.050000 1000 67 25152
0.050000 1000 91 24573
0.050000 1000 103 24870
0.050000 1000 98 24903
0.050000 1000 72 25060
0.050000 1000 93 24820
0.050000 1000 97 25152
0.050000 1000 74 25037
0.050000 1000 117 24888
0.050000 1000 84 24851
0.050000 1000 89 25151
0.050000 1000 114 25076
0.050000 1000 82 24924
0.050000 1000 93 24940
0.050000 1000 108 25022
0.050000 1000 74 25106
0.050000 1000 74 25037
0.050000 1000 92 25037
0.050000 1000 108 25027
0.050000 1000 82 25150
0.050000 1000 81 24714
0.050000 1000 122 25005
0.050000 1000 132 24942
0.050000 1000 101 24965
0.050000 1000 66 25071
0.050000 1000 152 25070
0.050000 1000 69 24925
0.050000 1000 65 25052
0.050000 1000 58 24547
0.050000 1000 54 24692
0.050000 1000 63 24678
0.050000 1000 160 25023
0.050000 1000 75 25276
0.050000 1000 90 25060
0.050000 1000 77 24676
0.050000 1000 161 25116
0.050000 1000 95 24685
0.050000 1000 75 25023
0.050000 1000 157 25237
0.050000 1000 96 24797
0.050000 1000 81 25160
0.050000 1000 156 25037
0.050000 1000 98 24838
0.050000 1000 70 25010
0.050000 1000 94 25094
0.050000 1000 101 24892
0.050000 1000 60 25033
0.050000 1000 69 25034
0.050000 1000 127 25134
0.050000 1000 92 24992
0.050000 1000 142 24764
0.050000 1000 161 24766
0.050000 1000 99 25144
0.050000 1000 73 25077
0.050000 1000 86 25020
0.050000 1000 108 25171
0.050000 1000 112 25059
0.050000 1000 80 24866
0.050000 1000 104 25176
0.050000 1000 101 24968
0.050000 1000 95 24895
0.050000 1000 76 24926
0.050000 1000 85 25072
0.050000 1000 117 24969
0.050000 1000 92 24998
0.050000 1000 99 25001
0.050000 1000 56 25289
0.050000 1000 166 24894
0.050000 1000 96 24674
0.050000 1000 51 24928
0.050000 1000 54 24797
0.050000 1000 155 24960
0.050000 1000 75 24899
0.050000 1000 87 24903
0.050000 1000 142 24866
0.050000 1000 70 24963
0.050000 1000 98 24866
0.050000 1000 92 24698
0.050000 1000 136 24763
0.050000 1000 65 25044
0.050000 1000 116 24893
0.050000 1000 97 24970
0.050000 1000 115 24968
0.050000 1000 58 24958
0.050000 1000 102 24854
0.050000 1000 77 24907
0.050000 1000 82 25348
0.050000 1000 76 25040
0.050000 1000 99 25192
0.050000 1000 71 25383
0.050000 1000 100 25126
0.050000 1000 98 24779
