Probabilidade N TamanhoMaximo NumeroDeFalhas
0.200000 1000 33 99811
0.200000 1000 20 99918
0.200000 1000 25 100107
0.200000 1000 22 100064
0.200000 1000 22 100230
0.200000 1000 15 99905
0.200000 1000 18 100239
0.200000 1000 19 100174
0.200000 1000 33 99815
0.200000 1000 37 100012
0.200000 1000 25 99834
0.200000 1000 30 99747
0.200000 1000 14 100549
0.200000 1000 48 100320
0.200000 1000 37 99271
0.200000 1000 23 99868
0.200000 1000 22 99676
0.200000 1000 15 99970
0.200000 1000 22 100266
0.200000 1000 21 100109
0.200000 1000 19 100234
0.200000 1000 40 99637
0.200000 1000 18 99805
0.200000 1000 19 99985
0.200000 1000 21 99785
0.200000 1000 29 99917
0.200000 1000 27 99868
0.200000 1000 18 99914
0.200000 1000 22 99685
0.200000 1000 26 99962
0.200000 1000 17 99878
0.200000 1000 30 99947
0.200000 1000 18 100336
0.200000 1000 18 99771
0.200000 1000 18 99978
0.200000 1000 16 99689
0.200000 1000 35 100928
0.200000 1000 28 99988
0.200000 1000 20 100041
0.200000 1000 19 100097
0.200000 1000 21 99948
0.200000 1000 30 99782
0.200000 1000 20 99748
0.200000 1000 35 99966
0.200000 1000 24 99633
0.200000 1000 24 99901
0.200000 1000 23 100189
0.200000 1000 17 99612
0.200000 1000 18 99818
0.200000 1000 37 99890
0.200000 1000 22 100111
0.200000 1000 28 99927
0.200000 1000 20 99537
0.200000 1000 16 100077
0.200000 1000 27 99890
0.200000 1000 24 99847
0.200000 1000 23 99748
0.200000 1000 29 100478
0.200000 1000 34 100021
0.200000 1000 18 100256
0.200000 1000 20 100424
0.200000 1000 22 99812
0.200000 1000 35 100129
0.200000 1000 21 100097
0.200000 1000 19 99740
0.200000 1000 18 99989
0.200000 1000 20 99750
0.200000 1000 23 99881
0.200000 1000 32 99886
0.200000 1000 46 100043
0.200000 1000 23 99967
0.200000 1000 24 100327
0.200000 1000 26 99824
0.200000 1000 23 99748
0.200000 1000 25 99850
0.200000 1000 22 99891
0.200000 1000 17 100002
0.200000 1000 19 99797
0.200000 1000 17 99951
0.200000 1000 24 99387
0.200000 1000 28 99614
0.200000 1000 19 100153
0.200000 1000 21 99535
0.200000 1000 25 99038
0.200000 1000 21 99773
0.200000 1000 56 100016
0.200000 1000 23 99911
0.200000 1000 23 99468
0.200000 1000 22 99511
0.200000 1000 23 99714
0.200000 1000 16 99804
0.200000 1000 24 99925
0.200000 1000 29 100544
0.200000 1000 34 100149
0.200000 1000 21 99819
0.200000 1000 21 99858
0.200000 1000 18 99601
0.200000 1000 27 100024
0.200000 1000 34 99558
0.200000 1000 16 99539
