Probabilidade N TamanhoMaximo NumeroDeFalhas
0.200000 1000 11 553
0.200000 1000 7 572
0.200000 1000 10 574
0.200000 1000 9 539
0.200000 1000 8 560
0.200000 1000 9 561
0.200000 1000 10 548
0.200000 1000 10 544
0.200000 1000 8 549
0.200000 1000 9 531
0.200000 1000 10 545
0.200000 1000 8 528
0.200000 1000 9 556
0.200000 1000 8 550
0.200000 1000 9 563
0.200000 1000 9 562
0.200000 1000 9 540
0.200000 1000 11 517
0.200000 1000 7 547
0.200000 1000 8 545
0.200000 1000 8 546
0.200000 1000 8 548
0.200000 1000 8 524
0.200000 1000 10 520
0.200000 1000 10 537
0.200000 1000 8 565
0.200000 1000 9 553
0.200000 1000 8 549
0.200000 1000 8 551
0.200000 1000 8 580
0.200000 1000 9 574
0.200000 1000 8 568
0.200000 1000 8 542
0.200000 1000 10 526
0.200000 1000 8 575
0.200000 1000 8 534
0.200000 1000 11 539
0.200000 1000 12 554
0.200000 1000 9 548
0.200000 1000 9 584
0.200000 1000 7 545
0.200000 1000 12 549
0.200000 1000 9 590
0.200000 1000 10 544
0.200000 1000 8 542
0.200000 1000 8 557
0.200000 1000 10 539
0.200000 1000 7 529
0.200000 1000 12 567
0.200000 1000 8 544
0.200000 1000 11 568
0.200000 1000 9 543
0.200000 1000 9 552
0.200000 1000 8 550
0.200000 1000 10 504
0.200000 1000 8 563
0.200000 1000 9 549
0.200000 1000 7 568
0.200000 1000 9 552
0.200000 1000 8 555
0.200000 1000 9 542
0.200000 1000 9 548
0.200000 1000 8 564
0.200000 1000 7 565
0.200000 1000 8 540
0.200000 1000 7 545
0.200000 1000 11 531
0.200000 1000 9 538
0.200000 1000 8 542
0.200000 1000 14 575
0.200000 1000 8 560
0.200000 1000 9 574
0.200000 1000 8 557
0.200000 1000 8 561
0.200000 1000 8 544
0.200000 1000 8 541
0.200000 1000 9 522
0.200000 1000 9 571
0.200000 1000 8 529
0.200000 1000 9 562
0.200000 1000 10 571
0.200000 1000 8 545
0.200000 1000 7 565
0.200000 1000 8 549
0.200000 1000 10 549
0.200000 1000 8 573
0.200000 1000 8 551
0.200000 1000 9 533
0.200000 1000 9 540
0.200000 1000 10 540
0.200000 1000 8 557
0.200000 1000 9 580
0.200000 1000 9 552
0.200000 1000 7 567
0.200000 1000 8 556
0.200000 1000 9 552
0.200000 1000 7 570
0.200000 1000 7 574
0.200000 1000 9 551
0.200000 1000 8 515
