Probabilidade N TamanhoMaximo NumeroDeFalhas
0.200000 1000 8 1999
0.200000 1000 8 1955
0.200000 1000 8 1987
0.200000 1000 7 2006
0.200000 1000 7 2010
0.200000 1000 8 2022
0.200000 1000 9 1977
0.200000 1000 8 1968
0.200000 1000 8 2023
0.200000 1000 8 2031
0.200000 1000 10 2002
0.200000 1000 8 2020
0.200000 1000 8 2060
0.200000 1000 8 2005
0.200000 1000 7 2002
0.200000 1000 9 1946
0.200000 1000 8 1936
0.200000 1000 8 2020
0.200000 1000 10 2046
0.200000 1000 8 2000
0.200000 1000 7 2005
0.200000 1000 10 1966
0.200000 1000 7 1954
0.200000 1000 8 1966
0.200000 1000 10 1958
0.200000 1000 9 2003
0.200000 1000 12 1977
0.200000 1000 8 1941
0.200000 1000 7 1979
0.200000 1000 9 1982
0.200000 1000 8 1980
0.200000 1000 11 2050
0.200000 1000 9 1976
0.200000 1000 8 1963
0.200000 1000 8 2027
0.200000 1000 8 2019
0.200000 1000 9 1980
0.200000 1000 8 2022
0.200000 1000 8 2026
0.200000 1000 10 2061
0.200000 1000 10 1967
0.200000 1000 10 1985
0.200000 1000 7 2022
0.200000 1000 8 1988
0.200000 1000 8 1953
0.200000 1000 8 1937
0.200000 1000 7 2044
0.200000 1000 9 2005
0.200000 1000 8 1958
0.200000 1000 8 2001
0.200000 1000 10 2110
0.200000 1000 8 2009
0.200000 1000 7 1959
0.200000 1000 9 2019
0.200000 1000 7 1971
0.200000 1000 7 2040
0.200000 1000 11 1989
0.200000 1000 7 2040
0.200000 1000 9 1966
0.200000 1000 8 1958
0.200000 1000 9 2010
0.200000 1000 9 1940
0.200000 1000 11 2023
0.200000 1000 8 2031
0.200000 1000 8 2047
0.200000 1000 10 1964
0.200000 1000 8 1994
0.200000 1000 9 1966
0.200000 1000 8 1905
0.200000 1000 7 2004
0.200000 1000 7 1964
0.200000 1000 8 1987
0.200000 1000 9 1956
0.200000 1000 10 1992
0.200000 1000 8 1895
0.200000 1000 8 2007
0.200000 1000 8 1987
0.200000 1000 7 2049
0.200000 1000 9 1970
0.200000 1000 7 2015
0.200000 1000 8 1904
0.200000 1000 7 2024
0.200000 1000 7 1992
0.200000 1000 10 1967
0.200000 1000 9 1981
0.200000 1000 9 2024
0.200000 1000 10 2030
0.200000 1000 9 1953
0.200000 1000 9 1941
0.200000 1000 8 1964
0.200000 1000 8 1968
0.200000 1000 10 2040
0.200000 1000 8 1983
0.200000 1000 7 2017
0.200000 1000 10 1890
0.200000 1000 9 1985
0.200000 1000 7 1967
0.200000 1000 9 2036
0.200000 1000 6 1985
0.200000 1000 10 1936
